citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
88 FR 68447, 2023-22250,68450,https://www.federalregister.gov/documents/2023/10/04/2023-22250/continuance-of-certain-federal-advisory-committees-and-amendments-to-other-executive-orders,https://www.govinfo.gov/content/pkg/FR-2023-10-04/pdf/2023-22250.pdf,Presidential Document,Executive Order,10/04/2023,2023-09-29,68447,Continuance of Certain Federal Advisory Committees and Amendments to Other Executive Orders,"Amends: EO 14031, May 28, 2021; EO 14084, September 30, 2022
Supersedes: EO 14048, September 30, 2021",14109,""
88 FR 66265, 2023-21174,66268,https://www.federalregister.gov/documents/2023/09/26/2023-21174/ensuring-the-people-of-east-palestine-are-protected-now-and-in-the-future,https://www.govinfo.gov/content/pkg/FR-2023-09-26/pdf/2023-21174.pdf,Presidential Document,Executive Order,09/26/2023,2023-09-20,66265,Ensuring the People of East Palestine Are Protected Now and in the Future,"",14108,""
88 FR 62441, 2023-19798,62442,https://www.federalregister.gov/documents/2023/09/12/2023-19798/exemption-of-paul-h-maurer-from-mandatory-separation,https://www.govinfo.gov/content/pkg/FR-2023-09-12/pdf/2023-19798.pdf,Presidential Document,Executive Order,09/12/2023,2023-09-06,62441,Exemption of Paul H. Maurer From Mandatory Separation,"",14107,""
88 FR 55905, 2023-17832,55907,https://www.federalregister.gov/documents/2023/08/17/2023-17832/united-states-coast-guard-officer-personnel-management,https://www.govinfo.gov/content/pkg/FR-2023-08-17/pdf/2023-17832.pdf,Presidential Document,Executive Order,08/17/2023,2023-08-14,55905,United States Coast Guard Officer Personnel Management,"",14106,""
88 FR 54867, 2023-17449,54872,https://www.federalregister.gov/documents/2023/08/11/2023-17449/addressing-united-states-investments-in-certain-national-security-technologies-and-products-in,https://www.govinfo.gov/content/pkg/FR-2023-08-11/pdf/2023-17449.pdf,Presidential Document,Executive Order,08/11/2023,2023-08-09,54867,Addressing United States Investments in Certain National Security Technologies and Products in Countries of Concern,"",14105,""
88 FR 50535, 2023-16570,50757,https://www.federalregister.gov/documents/2023/08/02/2023-16570/2023-amendments-to-the-manual-for-courts-martial-united-states,https://www.govinfo.gov/content/pkg/FR-2023-08-02/pdf/2023-16570.pdf,Presidential Document,Executive Order,08/02/2023,2023-07-28,50535,"2023 Amendments to the Manual for Courts-Martial, United States","See: EO 12473, April 13, 1984",14103,""
88 FR 51203, 2023-16636,51208,https://www.federalregister.gov/documents/2023/08/02/2023-16636/federal-research-and-development-in-support-of-domestic-manufacturing-and-united-states-jobs,https://www.govinfo.gov/content/pkg/FR-2023-08-02/pdf/2023-16636.pdf,Presidential Document,Executive Order,08/02/2023,2023-07-28,51203,Federal Research and Development in Support of Domestic Manufacturing and United States Jobs,"See: EO 14005, January 25, 2021",14104,""
88 FR 45807, 2023-15347,45807,https://www.federalregister.gov/documents/2023/07/18/2023-15347/ordering-the-selected-reserve-and-certain-members-of-the-individual-ready-reserve-of-the-armed,https://www.govinfo.gov/content/pkg/FR-2023-07-18/pdf/2023-15347.pdf,Presidential Document,Executive Order,07/18/2023,2023-07-13,45807,Ordering the Selected Reserve and Certain Members of the Individual Ready Reserve of the Armed Forces to Active Duty,"",14102,""
88 FR 41815, 2023-13889,41818,https://www.federalregister.gov/documents/2023/06/28/2023-13889/strengthening-access-to-affordable-high-quality-contraception-and-family-planning-services,https://www.govinfo.gov/content/pkg/FR-2023-06-28/pdf/2023-13889.pdf,Presidential Document,Executive Order,06/28/2023,2023-06-23,41815,"Strengthening Access to Affordable, High-Quality Contraception and Family Planning Services","See: EO 14076, July 8, 2022; EO 14079, August 13, 2022",14101,""
88 FR 39111, 2023-12974,39116,https://www.federalregister.gov/documents/2023/06/15/2023-12974/advancing-economic-security-for-military-and-veteran-spouses-military-caregivers-and-survivors,https://www.govinfo.gov/content/pkg/FR-2023-06-15/pdf/2023-12974.pdf,Presidential Document,Executive Order,06/15/2023,2023-06-09,39111,"Advancing Economic Security for Military and Veteran Spouses, Military Caregivers, and Survivors","See: EO 13562, December 27, 2010; EO 13583, August 18, 2011; EO 13832, May 9, 2018; EO 14035, June 25, 2021; EO 14091, February 16, 2023",14100,""
