citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,proclamation_number
86 FR 68103, 2021-26219,68104,https://www.federalregister.gov/documents/2021/12/01/2021-26219/thanksgiving-day-2021,https://www.govinfo.gov/content/pkg/FR-2021-12-01/pdf/2021-26219.pdf,Presidential Document,Proclamation,12/01/2021,2021-11-24,68103,"Thanksgiving Day, 2021","",10314
86 FR 68385, 2021-26253,68388,https://www.federalregister.gov/documents/2021/12/01/2021-26253/suspension-of-entry-as-immigrants-and-nonimmigrants-of-certain-additional-persons-who-pose-a-risk-of,https://www.govinfo.gov/content/pkg/FR-2021-12-01/pdf/2021-26253.pdf,Presidential Document,Proclamation,12/01/2021,2021-11-26,68385,Suspension of Entry as Immigrants and Nonimmigrants of Certain Additional Persons Who Pose a Risk of Transmitting Coronavirus Disease 2019,"",10315
86 FR 68867, 2021-26456,68868,https://www.federalregister.gov/documents/2021/12/03/2021-26456/national-impaired-driving-prevention-month-2021,https://www.govinfo.gov/content/pkg/FR-2021-12-03/pdf/2021-26456.pdf,Presidential Document,Proclamation,12/03/2021,2021-11-30,68867,"National Impaired Driving Prevention Month, 2021","",10316
86 FR 68869, 2021-26458,68870,https://www.federalregister.gov/documents/2021/12/03/2021-26458/world-aids-day-2021,https://www.govinfo.gov/content/pkg/FR-2021-12-03/pdf/2021-26458.pdf,Presidential Document,Proclamation,12/03/2021,2021-11-30,68869,"World AIDS Day, 2021","",10317
86 FR 69157, 2021-26588,69158,https://www.federalregister.gov/documents/2021/12/07/2021-26588/international-day-of-persons-with-disabilities-2021,https://www.govinfo.gov/content/pkg/FR-2021-12-07/pdf/2021-26588.pdf,Presidential Document,Proclamation,12/07/2021,2021-12-02,69157,"International Day of Persons With Disabilities, 2021","",10318
86 FR 69575, 2021-26695,69576,https://www.federalregister.gov/documents/2021/12/08/2021-26695/national-pearl-harbor-remembrance-day-2021,https://www.govinfo.gov/content/pkg/FR-2021-12-08/pdf/2021-26695.pdf,Presidential Document,Proclamation,12/08/2021,2021-12-03,69575,"National Pearl Harbor Remembrance Day, 2021","",10319
86 FR 69975, 2021-26810,69975,https://www.federalregister.gov/documents/2021/12/09/2021-26810/death-of-robert-joseph-dole,https://www.govinfo.gov/content/pkg/FR-2021-12-09/pdf/2021-26810.pdf,Presidential Document,Proclamation,12/09/2021,2021-12-05,69975,Death of Robert Joseph Dole,"",10320
86 FR 71127, 2021-27284,71128,https://www.federalregister.gov/documents/2021/12/15/2021-27284/human-rights-day-and-human-rights-week-2021,https://www.govinfo.gov/content/pkg/FR-2021-12-15/pdf/2021-27284.pdf,Presidential Document,Proclamation,12/15/2021,2021-12-09,71127,"Human Rights Day and Human Rights Week, 2021","",10321
86 FR 71355, 2021-27379,71355,https://www.federalregister.gov/documents/2021/12/16/2021-27379/amending-proclamation-10320-death-of-robert-j-dole,https://www.govinfo.gov/content/pkg/FR-2021-12-16/pdf/2021-27379.pdf,Presidential Document,Proclamation,12/16/2021,2021-12-09,71355,"Amending Proclamation 10320, Death of Robert J. Dole","",10322
86 FR 71787, 2021-27540,71788,https://www.federalregister.gov/documents/2021/12/17/2021-27540/bill-of-rights-day-2021,https://www.govinfo.gov/content/pkg/FR-2021-12-17/pdf/2021-27540.pdf,Presidential Document,Proclamation,12/17/2021,2021-12-14,71787,"Bill of Rights Day, 2021","",10323
86 FR 72505, 2021-27841,72506,https://www.federalregister.gov/documents/2021/12/21/2021-27841/wright-brothers-day-2021,https://www.govinfo.gov/content/pkg/FR-2021-12-21/pdf/2021-27841.pdf,Presidential Document,Proclamation,12/21/2021,2021-12-16,72505,"Wright Brothers Day, 2021","",10324
86 FR 73591, 2021-28312,73592,https://www.federalregister.gov/documents/2021/12/28/2021-28312/50th-anniversary-of-the-national-cancer-act-of-1971,https://www.govinfo.gov/content/pkg/FR-2021-12-28/pdf/2021-28312.pdf,Presidential Document,Proclamation,12/28/2021,2021-12-22,73591,50th Anniversary of the National Cancer Act of 1971,"",10325
86 FR 73593, 2021-28334,73599,https://www.federalregister.gov/documents/2021/12/28/2021-28334/to-modify-the-harmonized-tariff-schedule-of-the-united-states-and-for-other-purposes,https://www.govinfo.gov/content/pkg/FR-2021-12-28/pdf/2021-28334.pdf,Presidential Document,Proclamation,12/28/2021,2021-12-23,73593,To Modify the Harmonized Tariff Schedule of the United States and for Other Purposes,"",10326
87 FR 1, 2021-28514,9,https://www.federalregister.gov/documents/2022/01/03/2021-28514/adjusting-imports-of-aluminum-into-the-united-states,https://www.govinfo.gov/content/pkg/FR-2022-01-03/pdf/2021-28514.pdf,Presidential Document,Proclamation,01/03/2022,2021-12-27,1,Adjusting Imports of Aluminum Into the United States,"",10327
87 FR 11, 2021-28516,26,https://www.federalregister.gov/documents/2022/01/03/2021-28516/adjusting-imports-of-steel-into-the-united-states,https://www.govinfo.gov/content/pkg/FR-2022-01-03/pdf/2021-28516.pdf,Presidential Document,Proclamation,01/03/2022,2021-12-27,11,Adjusting Imports of Steel Into the United States,"",10328
